iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_loss,param_l1_ratio,param_epsilon,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.17420001029968263,0.04774667234320186,0.0006000518798828125,0.0004899407801225282,l1,huber,0.99,0.78,0.0006,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.99, 'epsilon': 0.78, 'alpha': 0.0006}",0.75,0.75,0.25,0.75,0.5,0.6,0.2,456,0.5,0.6875,0.4375,0.5,0.6875,0.5625,0.10458250331675945
0,20,0.2378002643585205,0.06819163423927782,0.0005995750427246094,0.0004895510730258258,l2,epsilon_insensitive,0.74,0.12,0.0004,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.74, 'epsilon': 0.12, 'alpha': 0.0004}",0.5,0.25,0.75,0.5,1.0,0.6,0.25495097567963926,456,0.5,0.4375,0.75,0.4375,0.5,0.525,0.1159202311936963
0,20,0.21699967384338378,0.07596855181442412,0.00039958953857421875,0.000489395447101057,l2,epsilon_insensitive,0.31,0.13,0.0008,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.31, 'epsilon': 0.13, 'alpha': 0.0008}",0.5,0.25,0.25,0.5,1.0,0.5,0.27386127875258304,955,0.5,0.4375,0.25,0.4375,0.5,0.425,0.09185586535436918
0,20,0.14459915161132814,0.00781429323247398,0.0003993988037109375,0.0004891622175135572,l1,squared_loss,0.86,0.58,0.0002,"{'penalty': 'l1', 'loss': 'squared_loss', 'l1_ratio': 0.86, 'epsilon': 0.58, 'alpha': 0.0002}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,955,0.5,0.25,0.375,0.4375,0.625,0.4375,0.125
0,20,0.27339954376220704,0.055658474095598404,0.00039997100830078123,0.0004898624411217046,l1,epsilon_insensitive,0.96,0.54,0.0005,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.96, 'epsilon': 0.54, 'alpha': 0.0005}",0.5,0.25,0.75,0.5,1.0,0.6,0.25495097567963926,456,0.625,0.75,0.6875,0.5625,0.4375,0.6125,0.10752906583803283
0,20,0.20719995498657226,0.006242168810398072,0.00040121078491210936,0.0004913816840704565,elasticnet,log,0.83,0.03,0.0002,"{'penalty': 'elasticnet', 'loss': 'log', 'l1_ratio': 0.83, 'epsilon': 0.03, 'alpha': 0.0002}",0.0,0.5,0.75,0.75,0.0,0.4,0.33911649915626346,1620,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.127400541305542,0.009601746878501346,0.00039925575256347654,0.0004889920209830571,l1,squared_epsilon_insensitive,0.84,0.13,0.0002,"{'penalty': 'l1', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.84, 'epsilon': 0.13, 'alpha': 0.0002}",0.25,0.25,0.5,0.5,0.25,0.35,0.1224744871391589,1800,0.5625,0.375,0.4375,0.5,0.3125,0.4375,0.08838834764831845
0,20,0.1409999370574951,0.008174057063058652,0.0008005619049072266,0.00040028212757473193,elasticnet,squared_loss,0.91,0.13,0.0005,"{'penalty': 'elasticnet', 'loss': 'squared_loss', 'l1_ratio': 0.91, 'epsilon': 0.13, 'alpha': 0.0005}",0.5,0.5,0.25,0.5,0.75,0.5,0.15811388300841897,955,0.5,0.4375,0.25,0.6875,0.625,0.5,0.15309310892394862
0,20,0.20260066986083985,0.013395076957896056,0.0003989696502685547,0.0004886373417270151,elasticnet,log,0.11,0.01,0.0008,"{'penalty': 'elasticnet', 'loss': 'log', 'l1_ratio': 0.11, 'epsilon': 0.01, 'alpha': 0.0008}",0.0,0.75,0.75,0.5,0.5,0.5,0.27386127875258304,955,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.1941988468170166,0.035951943939343756,0.0,0.0,elasticnet,epsilon_insensitive,0.94,0.11,0.0003,"{'penalty': 'elasticnet', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.94, 'epsilon': 0.11, 'alpha': 0.0003}",0.5,0.75,0.25,0.5,1.0,0.6,0.25495097567963926,456,0.5,0.4375,0.4375,0.375,0.625,0.475,0.08477912478906585
0,20,0.14299969673156737,0.00802447451367234,0.0006004810333251953,0.0004902909966027617,l1,squared_loss,0.86,0.78,0.0002,"{'penalty': 'l1', 'loss': 'squared_loss', 'l1_ratio': 0.86, 'epsilon': 0.78, 'alpha': 0.0002}",0.5,0.25,0.5,0.5,0.75,0.5,0.15811388300841897,955,0.4375,0.5,0.4375,0.5,0.625,0.5,0.06846531968814576
0,20,0.17760000228881836,0.013806720441302787,0.00020012855529785156,0.0004002571105957031,l1,perceptron,0.31,0.01,0.0008,"{'penalty': 'l1', 'loss': 'perceptron', 'l1_ratio': 0.31, 'epsilon': 0.01, 'alpha': 0.0008}",0.25,0.75,1.0,0.75,0.25,0.6,0.30000000000000004,456,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.19459934234619142,0.03491363189608138,0.000800180435180664,0.00040009048398368584,l1,huber,0.31,0.52,0.0004,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.31, 'epsilon': 0.52, 'alpha': 0.0004}",0.5,0.75,0.75,0.5,0.5,0.6,0.1224744871391589,456,0.625,0.5625,0.625,0.5625,0.5625,0.5875,0.03061862178478973
0,20,0.13780016899108888,0.015039374302356199,0.00039992332458496096,0.0004898043250660251,l2,squared_epsilon_insensitive,0.11,0.85,0.0005,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.11, 'epsilon': 0.85, 'alpha': 0.0005}",0.5,0.25,0.75,0.5,0.5,0.5,0.15811388300841897,955,0.5,0.5,0.875,0.625,0.5625,0.6125,0.13919410907075053
0,20,0.2852004051208496,0.05593456965981726,0.0007996082305908204,0.0003998046093642577,l1,huber,0.74,0.43,0.0005,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.74, 'epsilon': 0.43, 'alpha': 0.0005}",0.5,0.75,0.75,0.5,1.0,0.7,0.18708286933869706,114,0.5,0.5625,0.625,0.4375,0.5625,0.5375,0.0637377439199098
0,20,0.22999958992004393,0.08514278235100986,0.00040073394775390624,0.0004907968473041016,l2,huber,0.29,0.53,0.0002,"{'penalty': 'l2', 'loss': 'huber', 'l1_ratio': 0.29, 'epsilon': 0.53, 'alpha': 0.0002}",0.5,0.75,0.75,0.5,0.0,0.5,0.27386127875258304,955,0.5,0.5625,0.75,0.4375,0.5,0.55,0.10752906583803283
