iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_loss,param_l1_ratio,param_epsilon,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.03127293586730957,0.0072340911389100065,0.0004000663757324219,0.000489979334704009,l1,perceptron,0.29,0.01,0.0005,"{'penalty': 'l1', 'loss': 'perceptron', 'l1_ratio': 0.29, 'epsilon': 0.01, 'alpha': 0.0005}",0.75,0.5,0.75,0.75,0.75,0.7,0.09999999999999999,127,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.04148344993591309,0.003794111261372079,0.0004001140594482422,0.000490038622463583,elasticnet,log,0.31,0.58,0.0001,"{'penalty': 'elasticnet', 'loss': 'log', 'l1_ratio': 0.31, 'epsilon': 0.58, 'alpha': 0.0001}",0.75,0.25,0.75,0.75,0.25,0.55,0.2449489742783178,1116,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.028458547592163087,0.0013500637535269295,0.0008002281188964844,0.0004001151249570983,l1,squared_epsilon_insensitive,0.59,0.09,0.0002,"{'penalty': 'l1', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.59, 'epsilon': 0.09, 'alpha': 0.0002}",0.5,0.75,0.25,1.0,0.5,0.6,0.25495097567963926,772,0.5,0.4375,0.4375,0.5,0.6875,0.5125,0.09185586535436918
0,20,0.03785672187805176,0.006835915229047426,0.00040044784545898435,0.0004904465377067965,elasticnet,perceptron,0.52,0.43,0.0002,"{'penalty': 'elasticnet', 'loss': 'perceptron', 'l1_ratio': 0.52, 'epsilon': 0.43, 'alpha': 0.0002}",0.75,0.5,0.5,0.75,0.0,0.5,0.27386127875258304,1342,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.030050086975097656,0.001406861756020484,0.0004000663757324219,0.0004899794507158651,l2,hinge,0.34,0.69,0.0005,"{'penalty': 'l2', 'loss': 'hinge', 'l1_ratio': 0.34, 'epsilon': 0.69, 'alpha': 0.0005}",0.75,0.5,0.75,0.75,0.25,0.6,0.2,772,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.06109023094177246,0.024966053632512312,0.0006003856658935546,0.0004902168091400798,l2,epsilon_insensitive,0.96,0.63,0.0006,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.96, 'epsilon': 0.63, 'alpha': 0.0006}",0.25,1.0,0.25,0.75,0.75,0.6,0.30000000000000004,772,0.625,0.375,0.375,0.6875,0.5,0.5125,0.12747548783981963
0,20,0.025231027603149415,0.008323325299254399,0.0004008769989013672,0.0004909723321176078,l2,squared_epsilon_insensitive,0.29,0.43,0.0004,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.29, 'epsilon': 0.43, 'alpha': 0.0004}",0.5,0.0,0.5,0.5,0.75,0.45,0.24494897427831783,1571,0.5625,0.625,0.625,0.5,0.6875,0.6,0.06373774391990981
0,20,0.027245187759399415,0.005359575087395073,0.0005998611450195312,0.0004897853708708007,l2,squared_epsilon_insensitive,0.36,0.69,0.0002,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.36, 'epsilon': 0.69, 'alpha': 0.0002}",0.5,0.5,0.75,0.25,0.75,0.55,0.18708286933869706,1116,0.625,0.4375,0.75,0.5,0.4375,0.55,0.12119199643540822
0,20,0.035850811004638675,0.006757954940289469,0.00040035247802734376,0.0004903297369560838,l1,hinge,0.94,0.13,0.0006,"{'penalty': 'l1', 'loss': 'hinge', 'l1_ratio': 0.94, 'epsilon': 0.13, 'alpha': 0.0006}",0.5,0.5,0.5,0.75,0.5,0.55,0.09999999999999999,1116,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.043067121505737306,0.016782825604973135,0.0,0.0,l2,huber,0.56,0.85,0.0001,"{'penalty': 'l2', 'loss': 'huber', 'l1_ratio': 0.56, 'epsilon': 0.85, 'alpha': 0.0001}",0.75,1.0,0.75,0.75,0.25,0.7,0.2449489742783178,127,0.375,0.375,0.625,0.6875,0.5,0.5125,0.12747548783981963
0,20,0.04146971702575684,0.01900483862360449,0.0006014347076416015,0.0004910707097554265,l1,huber,0.6,0.77,0.0001,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.6, 'epsilon': 0.77, 'alpha': 0.0001}",0.25,1.0,0.75,0.25,0.75,0.6,0.30000000000000004,772,0.6875,0.4375,0.5625,0.625,0.5625,0.575,0.08291561975888499
0,20,0.02963881492614746,0.007141960596657008,0.00019979476928710938,0.00039958953857421875,l1,huber,0.86,0.52,0.0003,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.86, 'epsilon': 0.52, 'alpha': 0.0003}",0.5,0.5,0.75,0.75,0.25,0.55,0.18708286933869706,1116,0.25,0.5,0.375,0.75,0.5,0.475,0.16583123951777
0,20,0.045672130584716794,0.024538152888198852,0.0004000663757324219,0.0004899798219536205,l1,epsilon_insensitive,0.86,0.58,0.0005,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.86, 'epsilon': 0.58, 'alpha': 0.0005}",0.25,1.0,0.75,0.5,0.25,0.55,0.291547594742265,1116,0.6875,0.4375,0.625,0.4375,0.375,0.5125,0.12119199643540823
0,20,0.05469136238098145,0.025568307223969782,0.0,0.0,l1,huber,0.63,0.88,0.0008,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.63, 'epsilon': 0.88, 'alpha': 0.0008}",0.25,1.0,0.5,0.25,0.75,0.55,0.291547594742265,1116,0.5,0.375,0.6875,0.4375,0.5625,0.5125,0.10752906583803283
0,20,0.05008506774902344,0.026627377765436826,0.0005988121032714844,0.0004889284069753907,l2,epsilon_insensitive,0.96,0.85,0.0002,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.96, 'epsilon': 0.85, 'alpha': 0.0002}",0.75,1.0,0.25,0.75,0.75,0.7,0.2449489742783178,127,0.375,0.375,0.375,0.6875,0.5,0.4625,0.1224744871391589
0,20,0.0643162727355957,0.024251273556666494,0.0006011962890625,0.0004908767834462276,l2,epsilon_insensitive,0.29,0.68,0.0008,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.29, 'epsilon': 0.68, 'alpha': 0.0008}",0.75,1.0,0.25,0.25,0.75,0.6,0.30000000000000004,772,0.375,0.375,0.375,0.3125,0.5,0.3875,0.06123724356957945
0,20,0.04428229331970215,0.014854823277003262,0.000600433349609375,0.0004902528050969049,l1,epsilon_insensitive,0.95,0.11,0.0005,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.95, 'epsilon': 0.11, 'alpha': 0.0005}",0.25,0.25,0.25,0.25,0.75,0.35,0.2,1779,0.625,0.5625,0.375,0.375,0.5625,0.5,0.10458250331675945
0,20,0.0444826602935791,0.018267545213448113,0.0004001140594482422,0.0004900376480808074,l2,huber,0.56,0.11,0.0008,"{'penalty': 'l2', 'loss': 'huber', 'l1_ratio': 0.56, 'epsilon': 0.11, 'alpha': 0.0008}",0.75,1.0,0.25,0.25,0.25,0.5,0.31622776601683794,1342,0.375,0.375,0.75,0.3125,0.5,0.4625,0.15612494995995996
0,20,0.03826432228088379,0.006253545754336578,0.0006000995635986328,0.0004899793115016344,elasticnet,perceptron,0.7,0.9,0.0003,"{'penalty': 'elasticnet', 'loss': 'perceptron', 'l1_ratio': 0.7, 'epsilon': 0.9, 'alpha': 0.0003}",0.75,0.5,0.5,0.75,0.75,0.65,0.1224744871391589,423,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.03686556816101074,0.008170585986556468,0.00020041465759277344,0.0004008293151855469,l2,log,0.2,0.53,0.0008,"{'penalty': 'l2', 'loss': 'log', 'l1_ratio': 0.2, 'epsilon': 0.53, 'alpha': 0.0008}",0.75,0.0,0.75,0.75,0.5,0.55,0.291547594742265,1116,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.052289915084838864,0.024785611678528118,0.00039987564086914064,0.0004897456403489048,elasticnet,huber,0.86,0.84,0.0005,"{'penalty': 'elasticnet', 'loss': 'huber', 'l1_ratio': 0.86, 'epsilon': 0.84, 'alpha': 0.0005}",0.75,0.0,0.5,0.5,0.75,0.5,0.27386127875258304,1342,0.375,0.625,0.4375,0.5625,0.5625,0.5125,0.09185586535436917
0,20,0.04566168785095215,0.002409699780065838,0.00020051002502441406,0.0004010200500488281,l1,modified_huber,0.69,0.89,0.0006,"{'penalty': 'l1', 'loss': 'modified_huber', 'l1_ratio': 0.69, 'epsilon': 0.89, 'alpha': 0.0006}",0.75,0.5,0.75,0.75,0.75,0.7,0.09999999999999999,127,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.039054346084594724,0.00634915835719436,0.00019989013671875,0.0003997802734375,l1,squared_hinge,0.29,0.88,0.0001,"{'penalty': 'l1', 'loss': 'squared_hinge', 'l1_ratio': 0.29, 'epsilon': 0.88, 'alpha': 0.0001}",0.75,0.0,0.75,0.75,0.25,0.5,0.31622776601683794,1342,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.04525322914123535,0.0032394373200698005,0.00020060539245605468,0.0004012107849121094,elasticnet,squared_hinge,0.68,0.78,0.0006,"{'penalty': 'elasticnet', 'loss': 'squared_hinge', 'l1_ratio': 0.68, 'epsilon': 0.78, 'alpha': 0.0006}",0.75,0.0,0.75,0.75,0.5,0.55,0.291547594742265,1116,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.03683590888977051,0.006860642613853649,0.0006003379821777344,0.0004901751700094491,l1,log,0.86,0.13,0.0003,"{'penalty': 'l1', 'loss': 'log', 'l1_ratio': 0.86, 'epsilon': 0.13, 'alpha': 0.0003}",0.75,0.5,0.75,0.75,0.75,0.7,0.09999999999999999,127,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.03422379493713379,0.006029937851146571,0.00039992332458496096,0.0004898041858020194,l2,hinge,0.84,0.58,0.0002,"{'penalty': 'l2', 'loss': 'hinge', 'l1_ratio': 0.84, 'epsilon': 0.58, 'alpha': 0.0002}",0.75,0.0,0.75,0.75,0.25,0.5,0.31622776601683794,1342,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.031230831146240236,0.007076859919131065,0.0004000663757324219,0.000489979265096882,l2,squared_epsilon_insensitive,0.74,0.84,0.0001,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.74, 'epsilon': 0.84, 'alpha': 0.0001}",0.75,0.75,0.5,0.25,1.0,0.65,0.25495097567963926,423,0.3125,0.5625,0.5625,0.4375,0.3125,0.4375,0.11180339887498948
