,Column Labels,,,,,,,,,,,,,,,,,,,21494.66667,40.00290958,4.937382115,,,,,RAM,RAM,RAM,Path Cost,Path Cost,Path Cost,Max Depth,Max Depth,Max Depth,Search Depth,Search Depth,Search Depth,Expanded Nodes,Expanded Nodes,Expanded Nodes
,Run Time,,,Path Cost,,,Max Depth,,,Search Depth,,,Expanded Nodes,,,RAM,,,,8103.666667,47.13163519,4.863846145,Starting Grid,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS
Row Labels,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,,14853.33333,32.03324485,3.489631066,45812763,109.0007615,7.530999899,3.476967335,0.536712646,8.075897217,4.333206177,28,28,64428,28,29,64438,28,28,64428,8873,179427,85402
37156428,0.1750,3.5900,5.0090,22,22,"55,864",22,23,"65,982",22,22,"55,864",398,"88,062","126,453",0.03,4.19,4.34,,18594.33333,9.903748115,1.039957448,186347205,31.69499993,6.793524981,1.931669712,0.518074036,8.073379517,2.226455688,27,27,39131,27,28,39131,27,27,39131,4087,171356,42242
38147625,1.9740,3.3844,3.4610,22,22,"63,380",22,23,"63,380",22,22,"63,380",965,"81,381","81,833",0.13,4.19,4.33,,20529.66667,8.577737172,1.014309316,867450213,14.07467651,7.443962097,4.650999308,0.516059875,8.071868896,4.338241577,29,29,63423,29,30,66125,29,29,63423,3729,181029,111186
38156472,0.1710,2.0870,1.0220,20,20,"24,632",20,21,"24,632",20,20,"24,632",259,"52,015","25,658",0.03,2.14,2.15,,13921,12.33415294,1.007246569,826347105,19.92651224,7.030733109,2.753998995,0.139266968,8.073379517,4.300979614,27,27,55729,27,28,55729,27,27,55729,3296,175638,65656
41273685,,2.0870,3.0157,,20,"60,504",,21,"60,508",,20,"60,504",,"51,074","74,824",,2.14,4.32,,21874,7.530986945,0.9810784,506837241,13.46121144,7.590000153,4.681999922,0.518074036,8.073379517,4.338241577,29,29,61531,29,30,66123,29,29,61531,3953,181028,115547
42358617,0.0740,0.3480,5.0790,16,16,"54,968",16,17,"65,982",16,16,"54,968",167,"8,933","127,969",0.01,0.54,4.34,,13546.66667,12.24216898,0.969463497,128450763,30.09851146,4.925947905,1.977999449,0.516059875,4.198760986,2.238540649,25,23,41715,25,24,41715,25,23,41715,3831,121491,45399
43812567,0.5700,3.4860,,22,22,,22,23,,22,22,,698,"87,096",,0.04,4.19,,,20730.66667,8.072194735,0.966526359,236451870,12.06999969,6.767961979,3.754999161,0.136253357,4.190200806,4.336730957,26,26,65570,26,27,65605,26,26,65570,2471,163944,92362
45736128,0.3930,4.0345,2.2210,22,22,"47,258",22,23,"47,258",22,22,"47,258",439,"86,637","52,990",0.03,4.19,2.26,,30262,2.551334023,0.964056139,168745032,28.41651058,6.514997959,1.794998407,0.516059875,4.190200806,2.233505249,26,26,40588,26,27,40588,26,26,40588,3728,161707,44111
45812763,109.0008,7.5310,3.4770,28,28,"64,428",28,29,"64,438",28,28,"64,428","8,873","179,427","85,402",0.54,8.08,4.33,,31042,2.098001242,0.963666162,724506831,12.21799874,7.137586117,4.860999346,0.136253357,8.088485718,4.338241577,26,26,62140,26,27,66122,26,26,62140,2535,171711,114207
47365182,4.0350,5.7425,5.1070,24,24,"55,594",24,25,"65,982",24,24,"55,594","1,447","131,295","126,989",0.13,4.19,4.34,,26853,4.499495387,0.961696,41273685,,2.086997747,3.0156703,,2.136825562,4.319107056,,20,60504,,21,60508,,20,60504,,51074,74824
51364827,0.0670,1.1580,4.9710,18,18,"54,022",18,19,"65,982",18,18,"54,022",152,"22,592","129,362",0.01,2.08,4.34,,28892,3.087336063,0.932819299,746028153,0.951001406,,3.245001078,0.035591125,,4.325653076,25,,62059,25,,62059,25,,62059,844,,77983
51786243,3.2110,6.2278,0.9190,26,26,"21,674",26,27,"21,674",26,26,"21,674","1,361","159,416","22,530",0.13,4.19,2.13,,18615,9.017096122,0.932659617,621570834,,6.550666332,2.448324442,,4.198760986,4.292419434,,25,53681,,26,53681,,25,53681,,157964,62017
